dt,age_cd,sex_cd,home_sido_nm,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r,h1d1h1_dur_r
20201005,0,\N,\N,0.052922171,0.928668714,0.099650966,0.881939919,0.123953328,0.870922186,0.192222544,0.802650333
20201005,10,\N,\N,0.090994274,0.908521428,0.214403719,0.785111983,0.108740589,0.891168605,0.185907949,0.814001245
20201005,20,\N,\N,0.176972068,0.822804003,0.411340971,0.5884351,0.213207382,0.786761476,0.308958862,0.691009995
20201005,30,\N,\N,0.173127044,0.82677402,0.521431433,0.478469632,0.203014973,0.79696471,0.353918717,0.646060966
20201005,40,\N,\N,0.164280699,0.835661868,0.53146681,0.468475757,0.169928646,0.830060781,0.351071009,0.648918418
20201005,50,\N,\N,0.1651744,0.834756397,0.523227277,0.47670352,0.165144994,0.834843216,0.386387086,0.613601123
20201005,60,\N,\N,0.137181208,0.862648834,0.415967734,0.583862308,0.142686324,0.857299429,0.344347871,0.655637881
20201005,70,\N,\N,0.088694125,0.909117246,0.259880867,0.737930504,0.090353875,0.909531074,0.216198049,0.783686232
20201005,\N,1,\N,0.178272161,0.821135299,0.503068746,0.496338714,0.18419065,0.815677623,0.356721554,0.643146534
20201005,\N,2,\N,0.118984932,0.880348517,0.37319224,0.626141209,0.14254889,0.857337005,0.289309845,0.71057605
20201005,\N,\N,충청북도,0.150846745,0.847790496,0.431002909,0.567634332,0.173384855,0.826448725,0.345069371,0.654764209
20201005,\N,\N,충청남도,0.159079854,0.840046491,0.444085437,0.555040908,0.181438323,0.818407856,0.353627082,0.646217895
20201005,\N,\N,제주특별자치도,0.167517717,0.826184784,0.440243545,0.553458955,0.17449007,0.824607217,0.362648684,0.636448603
20201005,\N,\N,전라북도,0.155983711,0.842687314,0.432826783,0.565844241,0.171263663,0.828516672,0.344494084,0.65528625
20201005,\N,\N,전라남도,0.167072061,0.831939438,0.433201005,0.565810494,0.187396869,0.812449696,0.356872744,0.642973822
